Type,Description/BusinessModel,TraffickerProfile,Recruitment,VictimProfile,MethodsOfControl,Note,NumberCasesTotal,NumberHumanTraffickingCases,NumberLaborExploitationCases,Male,MalePercent,Female,FemalePercent,Gender Minority,Gender Minority Percent,Adult,AdultPercent,Minor,MinorPercent,U.S. Citizen,U.S. Citizen Percent,Foreign National,Foreign National Percent
Escort Services,"Escort Services is a broad term used widely in the commercial sex trade, referring to commercial sex acts that primarily occur at a temporary indoor location. The operations are often described as “out-call,” where traffickers deliver victims to a buyer’s hotel room or residence for “private parties,” or as “in-call,” where potential buyers cycle in and out of a hotel room where the trafficker has confined the victim for extended stays. These cyclical business operations repeat once the trafficker relocates the survivor to another city where the demand for commercial sex is booming. Over the years, there have been fluctuations in popular online advertising platforms for commercial sex, but the most prevalent online marketplace is Backpage.com. Though Backpage closed its U.S. Adult Services section in January 2017 due to rising pressure from the U.S. Senate, Backpage has accounted for more than 1,300 cases of trafficking within escort services and remains a driving force in global sexual exploitation.","Trafficker profiles range from a single trafficker exploiting their victim (often their intimate partner) to coordinated networks of traffickers affiliated with organized crime. All traffickers employ force, fraud, and coercion.","Victims may be tricked into a situation through fraudulent job offers, such as fake modeling contracts. Traffickers may also recruit victims by pretending to have a romantic interest in the victim or falsely promising that they can provide shelter, financial support, or other benefits.","The vast majority of the survivors of “escort services” are U.S. citizen women and girls, although men and boys also make up a small percentage. LGBTQ youth are also vulnerable, as shown by the Urban Institute’s 2015 report. “Surviving the Streets of New York”1, in which homeless LGBTQ youth reported trading sex through online ads and social media, at hotels, and at customers’ residences.","Extreme physical and sexual violence, often accompanied by weapons, is common, as is coercion in the form of unmanageable quotas, debts, threats of harm or police involvement, excessive monitoring, gang intimidation, social isolation, and constant surveillance. Traffickers often condition victims to believe they are the only ones who care for them, manipulating an attachment bond that makes the decision to leave the trafficker extremely difficult.","Victims may be tricked into a situation through fraudulent job offers, such as fake modeling contracts.",4651,Null,Null,225,5%,4355,94%,34,<1%,2762,59%,1986,43%,2120,46%,445,10%
"Illicit Massage, Health, & Beauty","Illicit massage, health, and beauty businesses present a façade of legitimate spa services, concealing that their primary business is the sex and labor trafficking of women trapped in these businesses. Although they appear to be single storefronts, the majority are controlled as part of larger networks – with one to three people owning several businesses at a time. Research suggests there are at least 7,000 storefronts in the U.S., and possibly far more.","On-site managers tend to be women of the same ethnicity and may have been trafficked themselves in these businesses before becoming part of the larger trafficking network. The similarity in age and ethnicity of managers and women who are managers-in-training can make it difficult to distinguish potential victims from potential controllers at a glance. This can add to the level of control and coercion that traffickers have over their victims. Preliminary research suggests that business owners may have a variety of racial and ethnic profiles; as noted, business owners often own several illicit massage businesses as part of a larger network.",These networks are connected to larger operators that assist with recruitment of women in their home country or women who are searching for work in the United States as immigrants with limited English.,"Most victims of illicit massage businesses are women from the mid-thirties to late fifties from China and South Korea. In other illicit health and beauty businesses, labor trafficking survivors are typically younger females (mid-twenties and older) from Southeast Asia.","Survivors are controlled through coercion, including extreme intimidation, threats of shame, isolation from the outside community, debt bondage, exploitation of communication barriers, and explicit as well as implied threats. Women are typically forced to live at the business or in another location with their movement controlled between work and home. Day-to-day actions tend to be monitored by a manager, who watches the store in person or off-site with a CCTV camera.",Most victims of illicit massage businesses are women from the mid-thirties to late fifties from China and South Korea.,2949,Null,Null,51,2%,2195,74%,0,0%,1606,54%,355,12%,97,3%,1243,42%
Outdoor Solicitation,"Outdoor solicitation occurs when traffickers force victims to find buyers in an outdoor, public setting. In many cities, this occurs on a particular block or at cross streets known for commercial sex and often referred to as a “track” or “stroll.” In more rural areas, outdoor solicitation frequently takes place at truck or rest stops along major highways.","These individuals tend to operate more independently rather than in networks with other traffickers, although some domestic gang influences have been documented.",Traffickers frequently recruit victims by posing as a romantic partner or exploiting an existing intimate relationship. Traffickers often recognize specific vulnerabilities and modify their recruitment efforts to exploit those factors by initially offering economic and emotional support.,"According to Polaris-operated hotline data, survivors are overwhelmingly U.S. citizen women and girls. Additionally, 48 percent of LGBTQ youth surveyed in “Surviving the Streets of New York” reported finding customers for commercial sex on the street2. Women and girls of color are also disproportionately represented in the data. While victims represent diverse experiences and socioeconomic backgrounds, a review of the data found that certain inequalities and societal factors may make particular individuals especially vulnerable. These factors include histories of trauma and abuse, addiction, chronic mental health issues, and economic hardship such as homelessness or unstable housing. Runaway and homeless youth are particularly vulnerable.","Hotline data has shown that traffickers more frequently use physical violence in outdoor solicitation than in other types of sex trafficking, but also exploit their intimate relationship, isolating them from support networks, and inducing or exploiting substance abuse issues. Verbal abuse and other types of manipulation are also common. Traffickers often confiscate a victim’s entire earnings, set unrealistic nightly quotas, and deny food and shelter as punishment if the quota is not met.",Traffickers more frequently use physical violence in outdoor solicitation than in other types of sex trafficking.,1643,Null,Null,64,4%,1548,94%,12,<1%,834,50%,844,50%,691,42%,55,3%
Residential,"Sex trafficking can occur within organized residential brothels run by a network of coordinated traffickers or within private households used more informally for commercial sex. Residential brothels that follow the first, more formalized model tend to cater to commercial sex buyers from similar ethnic and/or language backgrounds, advertising through word of mouth or covert business cards. Advertisement for the second model varies but often includes word of mouth, and Backpage.com is emerging as a frequent source.","In the first model, traffickers may be part of larger, organized networks, and in some cases may have formal or informal ties to organized crime groups such as gangs or cartels. In the second model, residential brothels may be private homes where inter-familial or intimate partner trafficking is taking place.","The first model tends to involve victims recruited through fake romantic interests, false job offers, or fraudulent immigration promises. In the second model, hotline data indicates that family members and intimate partners usually begin exploiting victims within homes opportunistically due to extreme economic hardship.","In more formalized brothels, victims tend to be women and to a lesser extent girls, with many victims from Latin America, particularly Mexico, and from Southeast Asia, particularly China. Sex trafficking within residences informally used as brothels typically involves child victims, with boys making up a growing percentage.","In the first model, networked traffickers often employ physical violence, lethal threats to victims and their families, debt bondage, and extreme confinement and monitoring. As noted, the second model tends to involve a higher percentage of minor victims than other types of sex trafficking. Although force, fraud, and coercion may not be necessary, common methods can include confinement, inducing illicit substances, threats to harm or expose, and exploiting the familial or intimate relationship.","Sex trafficking within residences informally used as brothels typically involves child victims, with boys making up a growing percentage.",1290,Null,Null,99,8%,1219,94%,7,<1%,820,64%,617,48%,432,33%,304,24%
Domestic Work,"Domestic or homecare workers often live within their employers’ households and provide services such as cooking, cleaning, and caretaking for children and the elderly or infirm. Labor trafficking for domestic work may also occur within the cycle of intimate partner violence or forced marriage situations as a means of maintaining or exerting power and control.","Traffickers in this type have diverse profiles. Many are wealthy individuals, sometimes from the victim’s home country. Domestic workers with A-3 and G-5 visas are especially vulnerable to the imbalanced power dynamic inherent in temporary work visas due to the trafficker’s elevated status as a diplomat, royal, or high-ranking member of an influential international organization. This status makes the fear of speaking out even greater and can allow traffickers to continue exploiting victims under the protection of diplomatic immunity. Family members and intimate partners may also be traffickers, though less commonly.","In cases reported to Polaris-operated hotlines, most survivors enter their situation on a B-1, A-3, or G-5 temporary work visa. Fraud with J-1 Au Pair visas and, increasingly, with B-2 (tourist) visas also occurs. Additionally, U.S. citizens and foreign national women on K-1 (fiancé) visas may experience labor trafficking for domestic work.","Hotline data reflects that survivors are predominantly middle-aged to older-aged women from the Philippines, while many are U.S. citizens or survivors from Latin America, India, and numerous countries spanning Sub-Saharan Africa. Survivors in this data came from more than 105 countries. Male victims were reported in 12 percent of the cases and child victims in 8 percent.","Labor trafficking victims in domestic work commonly work 12-18 hours a day (some as much as 24/7) for little to no pay. They may experience extreme isolation and confinement from the outside world, sexual harassment, high levels of monitoring, debt bondage, extreme wage theft, confiscation of critical documents such as passports, and restricted access to food and medical care. Traffickers often intentionally allow the victim’s visa to expire and use the newly undocumented status to create fear and distrust, which leads to even greater submission. Because of this, labor trafficking of domestic workers can often last for years or even decades.",Labor trafficking victims in domestic work commonly work 12-18 hours a day (some as much as 24/7) for little to no pay.,1586,1190,396,139,12%,1043,88%,4,<1%,1039,87%,97,8%,106,9%,1004,84%
"Bars, Strip Clubs, & Cantinas","Human trafficking in this type fronts as legitimate bars, restaurants, or clubs selling food and alcohol while exploiting victims for both sex and labor behind the scenes. Victims are forced to provide customers of the cantina with flirtatious companionship to entice them to purchase high-priced alcoholic beverages that often come with an explicit or implicit agreement for commercial sex acts as well. Polaris has identified several distinct business models within this industry. These include bars and cantinas that are entirely run by organized human trafficking networks. However, at other locations traffickers have agreements with the business owners that allow them to operate prostitution rings out of the bar or cantina in exchange for a portion of the criminal profits. In addition to the cantina-like businesses, many strip clubs and go-go clubs are associated with this type of sex and labor trafficking.","In some of the cantinas, organized human trafficking networks run the operations. Male and female traffickers based in Mexico or Central America operate or cooperate with criminal networks to sustain complicated, multiyear supply lines of new victims and to ensure that victims comply. U.S. citizens may also be traffickers in this network. In some cases, traffickers directly cooperate with, or are members of, cartels or U.S.-based street gangs. Traffickers may also be intimate partners or family members of their victims. Owners of the cantinas or bars may be directly involved in the trafficking and exploitation, or they may not be aware of this activity. Traffickers who use strip clubs are typically less networked than the cantina-like businesses and can often be intimate partners of the victims. Some links with Eastern European organized crime have emerged and merit more research.","Victims are deceived and enticed with promises of better job opportunities, romantic relationships, and safe migration to the U.S.","Bars and cantinas frequently victimize women and girls from Mexico and Central America aged 14 to 29, and the clientele is normally limited to men from local Latino communities. Most trafficking in go-go clubs and strip clubs involves U.S. citizen women and girls, as well as some from Eastern Europe. Male victims have also been reported.","A significant degree of violence is often reported in these cases, with women and girls severely beaten into submission, sexually assaulted, and threatened with weapons and death to their families if they do not comply. They frequently are trapped due to insurmountable debts to their traffickers. In addition, victims can be exploited for labor when they are forced to waitress, sometimes for excessive hours with no breaks or pay.","Thousands of women and girls from Mexico, Central America, and U.S. Latino communities are prisoners of a violent underground sex economy in the United States. Criminal networks or independent traffickers target vulnerable women and girls, often struggling with poverty, an abusive past, or a lack of opportunity, and exploit them for profit...",792,Null,Null,35,4%,756,95%,<3,<1%,551,70%,276,35%,248,31%,292,37%
Pornography,"The National Hotline has documented cases of family members, intimate partners, and individual sex traffickers earning profit from distributing a victim’s non-consenting appearance in pornographic material. The related issue of “revenge porn” is also a concern within relationship violence and can be considered high risk for sex trafficking. For cases involving webcams, please refer to Remote Interactive Sexual Acts. This type also includes the production and distribution of child pornography. The National Hotline frequently receives tips via our online reporting tool linking to suspicious websites that may contain child pornography. While the hotline records data from these reports, the hotline is unable to investigate such links to verify the legitimacy and therefore forwards all potential child pornography tips to The National Center of Missing and Exploited Children. Please visit the center for more information.","Due to limited data, little is known about typical trafficker profiles, except that in many cases traffickers may be intimate partners or family members of their victims. Traffickers within formal pornography production companies have also been recorded in Polaris-operated hotline cases, but data is thin.","Due to limited data, little is known, except that traffickers may exploit existing romantic or familial relationships.","While some tips of sex trafficking in pornography supply limited data due to the caller’s distance from the situation, in hotline cases where enough information was provided to establish high indicators of sex trafficking, data has revealed that survivors tend to be U.S. citizens. While most survivors in these cases are female, the rate of male victimization is four times the rate in other sex trafficking types.","An existing intimate partner may use manipulation, “gaslighting,” threats of harm, and substance abuse to coerce or defraud adult victims into pornography and subsequently sell the explicit content to websites or individual buyers. In some cases, traffickers may force a victim to engage in commercial sex, film the sex act, and then sell or threaten to sell the content. Due to limited data, little is known about methods of control in cases that may involve more formal pornography businesses.",The rate of male victimization is four times the rate in other sex trafficking types.,616,Null,Null,97,16%,490,80%,3,<1%,260,42%,377,61%,223,36%,78,13%
Traveling Sales Crew,"Traveling sales crews move between cities and states and go door-to-door, often selling fraudulent products such as magazine subscriptions that customers may never receive. Young salespeople are rarely fully compensated, they sell from morning until night, and are unable to leave due to fraud, manipulation, and coercion. As a result, sales crews find this business model of labor trafficking financially rewarding and low-risk. Data shows numerous linkages between sales crews and a larger national business network. It can be challenging to find these links because many organizations, particularly those with a long record of fraud-related complaints, frequently change their names and operating locations while remaining under the same ownership.","Traffickers may be crew managers or business owners. These crews and businesses are highly networked, with numerous connections among different business owners.","Recruitment occurs through social media, online classifieds, posters at schools, and person-to-person contact (most common). Fraud is rampant in the hiring process, and crew members routinely note that working conditions and sales commissions are significantly misrepresented in advertisements or during recruitment.","Traffickers in traveling sales crews will specifically target teens and young adults from marginalized and economically disadvantaged communities. Although most crews claim to hire those who are at least 18, minors as young as 15 can be involved. Unlike other types of labor trafficking, the victims in this category are overwhelmingly U.S. citizens.","Managers control nearly all aspects of the lives of crew members and drivers while they are on the road, and isolate them from wider society by imposing long work hours, moving frequently between regions, employing intense peer pressure and public shaming of workers, and controlling after-hours activity. Managers may deny crew members food, confiscate their driver’s licenses, or threaten them if they do not meet their daily sales quotas. Victims are typically paid a stipend of $5 to $20, the rest allegedly covering “debts” for lodging and transportation. Victims who wish to leave the crew are often abandoned in remote and unfamiliar areas, with no belongings or means of returning home as an “example” to other crew members to keep them from complaining or seeking help. In nearly a quarter of cases reported to the Polaris-operated hotlines, callers indicated that managers or fellow crew members physically assaulted salespeople who wished to leave. Sexual assault was reported in numerous cases.","The victims in Traveling Sales Crews are overwhelmingly U.S. citizens. Victims who wish to leave the crew are often abandoned in remote and unfamiliar areas, with no belongings or means of returning home.",663,575,88,367,64%,305,53%,3,<1%,381,66%,182,32%,312,54%,46,8%
Restuarants & Food Service,"Labor trafficking within the restaurant and food industry has been documented in nearly all kinds of food service and may involve bars, clubs, buffets, taquerias, or food and ice cream trucks. People working as cooks, bus staff, and wait staff may be exploited, with traffickers often taking advantage of language barriers between exploited workers and patrons—and in some cases other workers at the same restaurant who are not being abused—to help avoid detection.","With this type it can be difficult for even survivors to decipher who their primary trafficker is since the links between the smugglers, recruiters, and restaurant management are sometimes unclear and may be deliberately obfuscated by the trafficker to help avoid detection. Information suggests that in some cases a single actor is primarily responsible, while in other cases multiple actors with different roles may be working in collaboration to exploit the workers.","In many cases, victims are recruited using false promises and charged extremely high fees by smugglers to ensure safety while migrating to the U.S. and a better-paying job, only to end up trapped in a restaurant and trafficked for their labor.","Data has indicated that foreign national men and women from East and Southeast Asia, Mexico, and Central America tend to be equally victimized. However, victims from almost every region of the world have been trafficked in the U.S. While a significant majority of victims are adults, nearly 20 percent of cases of potential labor trafficking in restaurants reported to the Polaris-hotlines involved minors. Of the individual victims identified in hotline cases, nearly a third were undocumented immigrants. Hotline data also shows many cases of labor trafficking in restaurants involving the same primary victim populations, but on J-1 and H-2B work visas.","Victims can be confined at the restaurant around the clock or be isolated in a nearby home provided by the traffickers. Situations become more exploitative when the employer controls employee housing where victims are charged well-above-market rates for crowded, substandard living conditions, food, and transportation, which can increase their debt and further prevent them from leaving. Victims who do attempt to leave or report abuse may face lethal threats to their families back home or be threatened with deportation. Victims on H-2B and J-1 visas face similar immigration and “blacklisting” threats due to the lack of visa portability and are subjected to poor housing conditions, wage theft, excessive hours, and discrimination.",Victims can be confined at the restaurant around the clock or be isolated in a nearby home provided by the traffickers.,1741,524,1217,286,55%,311,59%,<3,<1%,417,80%,95,18%,35,6%,433,83%
Peddling & Begging,"Forced peddling and begging is a well-known type of labor trafficking globally, but Polarisoperated hotlines tend to receive fewer direct reports from victims of this type in the U.S. due to a limited number of victims willing to speak out. One peddling scheme revealed by hotline data involves traffickers who pose under the guise of a seemingly legitimate charitable or religious organization claiming to provide trips and enrichment services to “at-risk youth.” In fact, these rings exploit young U.S. children by forcing them to sell candy or baked goods, or solicit “donations” on streets or in shopping centers.","Due to limited data, little is known. Some case data has shown familial links with traffickers forcing their more vulnerable family members into begging.","Due to limited data, little is known.","These victim demographics lead to the potential for increased vulnerabilities and populations ranging from foreign national men, women, and children with an unstable immigration status (such as an undocumented immigrant whose trafficker is the temporary U.S. sponsor) to foreign and U.S. citizens who have physical or intellectual disabilities and/or behavioral health concerns.","Although data is limited around elements of force, fraud, and coercion, information suggests that traffickers monitor and intimidate victims from a distance, compel excessive working hours, take most of the earnings, instill daily quotas, and deny victims access to education, food, or transportation.",Some case data has shown familial links with traffickers forcing their more vulnerable family members into begging.,553,494,59,279,56%,243,49%,0,0%,159,32%,364,74%,190,38%,78,16%
Agriculture & Animal Husbandry,"Traffickers exploit workers in the agriculture and animal husbandry industry, from corn fields to orange orchards to dairy farms. Some crops such as tobacco require much more intensive labor to harvest, making them more susceptible to forced labor or exploitation. Tobacco is the crop cited most often on Polaris-operated hotlines, accounting for 10 percent of all agricultural labor trafficking cases. Others frequently mentioned are cattle/dairy, oranges, tomatoes, and strawberries. Often an agricultural contract will promise an hourly rate but then pay on a piece-rate basis, which severely limits earning potential and further entraps the victims. Abuse and exploitation of agricultural workers can happen at multiple levels due to the complex labor supply chain of recruiters, managers, contractors, subcontractors, growers, and buyers.","Workers can find it difficult to determine exactly who is responsible for the origin of the exploitation, due to this complex supply chain. In some cases, there may be a single or main trafficker who has one of these roles, while in other cases exploitation may involve multiple actors.","Recruitment usually features a more formal approach than in other industries, with recruiters charging victims recruitment and travel fees that create insurmountable debt, even though these costs are the responsibility of the employer under U.S. visa regulations6 for H-2A holders. Less is known about recruitment of undocumented workers or holders of other visa types, though anecdotal hotline cases suggest that recruiters and recruitment fees may be present in some cases.","According to cases reported to Polaris-operated hotlines, survivors of this type of labor trafficking are disproportionately Latino male migrant workers, mostly from Mexico and Central America, on seasonal H-2A visas. South African men on H-2A visas rank a distant second. Latinas and unaccompanied foreign minors are also victimized. However, this data appears to differ from the findings of farmworker advocacy groups, which have reported serving mostly workers on other visa types and undocumented victims.","If a victim leaves an abusive work situation, they may lose their status, and some traffickers exploit this lack of visa portability to instill fears about deportation or immigration status. Traffickers in agriculture also isolate victims in rural parts of the country with little to no means of accessing community support. Despite the H-2A program requirement that employers supply workers with suitable housing, traffickers have also been known to subject victims to squalid living conditions, often denying them even basic necessities such as beds and indoor toilets. Victims are also frequently denied the protective gear to do their jobs safely. This is most evident in tobacco fields, where despite the risk of contracting green tobacco sickness (GTS), tobacco workers on Polaris-operated hotlines frequently reported that their employers did not provide them with equipment that is necessary when directly handling tobacco leaves and pesticides. Oftentimes medical care is deliberately delayed or not offered for even the most severe workplace injuries or illnesses. By far the most common method of control in agriculture, as in many other types, is economic abuse, including wage theft, improper deductions, and payment at piece rates rather than hourly rates.","Traffickers have been known to subject victims to squalid living conditions, often denying them even basic necessities such as beds and indoor toilets.",1953,424,1529,365,86%,72,17%,0,0%,376,89%,35,8%,16,4%,387,91%
